Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Size and Fit (product.metafields.custom.size_and_fit),Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / European Union,Price / European Union,Compare At Price / European Union,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
samsoe-samsoe-abito-saskylar-denim-blue,,,,,,,,,MEDIUM DENIM BLUE,,,S,,,PE26,,723F26100094PE26,0.0,shopify,deny,manual,180.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21777_456e13cbec-f26100094-clr002201-01-2400.jpg?v=1771611498,2,"",,,,,,,,,,,,lb,,153.00,,,,,,,,,,
samsoe-samsoe-abito-saskylar-denim-blue,,,,,,,,,MEDIUM DENIM BLUE,,,M,,,PE26,,723F26100094PE26,0.0,shopify,deny,manual,180.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/dt.jpg?v=1771611499,3,"",,,,,,,,,,,,lb,,153.00,,,,,,,,,,
samsoe-samsoe-abito-saskylar-denim-blue,,,,,,,,,MEDIUM DENIM BLUE,,,L,,,PE26,,723F26100094PE26,0.0,shopify,deny,manual,180.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,153.00,,,,,,,,,,
golden-goose-t-shirt-nera,GOLDEN GOOSE T-SHIRT NERA,"<p>T shirt</p>
<p>100% COTONE</p>
<div>
<p>T-shirt con stampa con stelle, girocollo, maniche corte e orlo dritto.</p>
</div>",GOLDEN GOOSE,,T SHIRT,"Abbigliamento, Apparel & Accessories > Clothing, Convictional, DONNA, GOLDEN GOOSE, monostate-il-sellaio, Nuovi Arrivi, T SHIRT",false,Colore,90100 BLACK,,Taglia,XXS,,Stagione,AI25,,085GMP01220P00593AI25,0.0,shopify,deny,manual,170.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/18791741_40770973_1000.webp?v=1771611499,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/18791741_40770973_1000_f2b7622c-bffb-4f47-8f64-24bfda781836.webp?v=1771611499,lb,,144.50,true,,,true,,,true,,,active
golden-goose-t-shirt-nera,,,,,,,,,90100 BLACK,,,XS,,,AI25,,085GMP01220P00593AI25,0.0,shopify,deny,manual,170.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/18791741_40770970_1000.webp?v=1771611498,2,"",,,,,,,,,,,,lb,,144.50,,,,,,,,,,
golden-goose-t-shirt-nera,,,,,,,,,90100 BLACK,,,S,,,AI25,,085GMP01220P00593AI25,0.0,shopify,deny,manual,170.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/18791741_40770973_1000_f2b7622c-bffb-4f47-8f64-24bfda781836.webp?v=1771611499,3,"",,,,,,,,,,,,lb,,144.50,,,,,,,,,,
samsoe-samsoe-camicia-sabexy-denim,SAMSOE SAMSOE CAMICIA SABEXY DENIM,"<p>Camicia Sabexy</p>
<p><span>100% TENCEL™ Lyocell,</span></p>
<p><span>Camicia con tasche frontali , linea dritta</span></p>",SAMSOE SAMSOE,,CAMICIA,"Abbigliamento, Apparel & Accessories > Clothing, CAMICIA, Convictional, DONNA, monostate-il-sellaio, Nuovi Arrivi, SAMSOE SAMSOE",false,Colore,DENIM BLUE,,Taglia,XS,,Stagione,PE26,,723F26100095PE26,0.0,shopify,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21778_F26100095-CLR002201-10-2400.jpg?v=1771611498,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21778_F26100095-CLR002201-10-2400.jpg?v=1771611498,lb,,127.50,true,,,true,,,true,,,active
samsoe-samsoe-camicia-sabexy-denim,,,,,,,,,DENIM BLUE,,,S,,,PE26,,723F26100095PE28723F26100095PE26,0.0,shopify,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21778_F26100095-CLR002201-01-2400.jpg?v=1771611498,2,"",,,,,,,,,,,,lb,,127.50,,,,,,,,,,
samsoe-samsoe-camicia-sabexy-denim,,,,,,,,,DENIM BLUE,,,M,,,PE26,,723F26100095PE28723F26100095PE26,0.0,shopify,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21778_F26100095-CLR002201-02-2400.jpg?v=1771611499,3,"",,,,,,,,,,,,lb,,127.50,,,,,,,,,,
samsoe-samsoe-camicia-sabexy-denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21778_F26100095-CLR002201-03-2400.jpg?v=1771611498,4,"",,,,,,,,,,,,,,,,,,,,,,,,
samsoe-samsoe-camicia-sabexy-denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21778_F26100095-CLR002201-11-2400.jpg?v=1771611498,5,"",,,,,,,,,,,,,,,,,,,,,,,,
samsoe-samsoe-polo-sadaisy-sage-green,SAMSOE SAMSOE POLO SADAISY SAGE GREEN,"<p>Polo</p>
<p><span>cotone 65%,<span> </span></span><span>poliammide 25%,<span> </span></span><span>spandex/elastam 10%</span></p>
<p><span>Maglia con design polo, maniche corte</span></p>",SAMSOE SAMSOE,,MAGLIA,"Abbigliamento, Apparel & Accessories > Clothing, Convictional, DONNA, maglia, monostate-il-sellaio, Nuovi Arrivi, SAMSOE SAMSOE",false,Colore,SAGE GREEN,,Taglia,S,,Stagione,PE26,,723F26100061PE26,0.0,shopify,deny,manual,90.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/34238772_65259074_1000.webp?v=1771611499,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/34238772_65259074_1000.webp?v=1771611499,lb,,76.50,true,,,true,,,true,,,active
samsoe-samsoe-polo-sadaisy-sage-green,,,,,,,,,SAGE GREEN,,,M,,,PE26,,723F26100061PE26,0.0,shopify,deny,manual,90.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/34238772_65259412_1000.webp?v=1771611499,2,"",,,,,,,,,,,,lb,,76.50,,,,,,,,,,
samsoe-samsoe-polo-sadaisy-sage-green,,,,,,,,,SAGE GREEN,,,L,,,PE26,,723F26100061PE26,0.0,shopify,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,76.50,,,,,,,,,,
samsoe-samsoe-abito-sasusanna-black,SAMSOE SAMSOE ABITO SASUSANNA BLACK,"<p>Abito Sasusanna</p>
<p><span>72% TENCEL™ Modal, 24% Recycled Polyester, 4% Elastane,</span></p>
<p><span>Abito corto con spalline intrecciate </span></p>",SAMSOE SAMSOE,,Abito,"Abbigliamento, abito, Apparel & Accessories > Clothing, Convictional, DONNA, monostate-il-sellaio, Nuovi Arrivi, SAMSOE SAMSOE",false,Colore,BLACK,,Taglia,XS,,Stagione,PE26,,723F26100222PE26,0.0,shopify,deny,manual,160.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21840_F26100222-CLR000021-01-2400.jpg?v=1771611498,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21840_F26100222-CLR000021-10-2400.jpg?v=1771611498,lb,,136.00,true,,,true,,,true,,,active
samsoe-samsoe-abito-sasusanna-black,,,,,,,,,BLACK,,,S,,,PE26,,723F26100222PE26,0.0,shopify,deny,manual,160.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21840_F26100222-CLR000021-02-2400.jpg?v=1771611498,2,"",,,,,,,,,,,,lb,,136.00,,,,,,,,,,
samsoe-samsoe-abito-sasusanna-black,,,,,,,,,BLACK,,,M,,,PE26,,723F26100222PE26,0.0,shopify,deny,manual,160.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21840_F26100222-CLR000021-03-2400.jpg?v=1771611498,3,"",,,,,,,,,,,,lb,,136.00,,,,,,,,,,
samsoe-samsoe-abito-sasusanna-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21840_F26100222-CLR000021-10-2400.jpg?v=1771611498,4,"",,,,,,,,,,,,,,,,,,,,,,,,
samsoe-samsoe-abito-sasusanna-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21840_F26100222-CLR000021-11-2400.jpg?v=1771611498,5,"",,,,,,,,,,,,,,,,,,,,,,,,
samsoe-samsoe-gonna-sathea-bone,SAMSOE SAMSOE GONNA SATHEA BONE,"<p>Gonna Sathea</p>
<p><span>95% Organic Cotton, 5% Elastane</span></p>
<p><span>Gonna al polpaccio con vita elasticizzata </span></p>",SAMSOE SAMSOE,,gonna,"Abbigliamento, Apparel & Accessories > Clothing, Convictional, DONNA, GONNA, monostate-il-sellaio, Nuovi Arrivi, SAMSOE SAMSOE",false,Colore,BONE ST,,Taglia,XS,,Stagione,PE26,,723F26100088BONEPE26,0.0,shopify,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21771_F26100088-CLR002523-10-2400.jpg?v=1771611498,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21771_F26100088-CLR002523-10-2400.jpg?v=1771611498,lb,,127.50,true,,,true,,,true,,,active
samsoe-samsoe-gonna-sathea-bone,,,,,,,,,BONE ST,,,S,,,PE26,,723F26100088PE26,0.0,shopify,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21771_F26100088-CLR002523-02-2400.jpg?v=1771611498,2,"",,,,,,,,,,,,lb,,127.50,,,,,,,,,,
samsoe-samsoe-gonna-sathea-bone,,,,,,,,,BONE ST,,,M,,,PE26,,723F26100088PE26,0.0,shopify,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21771_F26100088-CLR002523-03-2400.jpg?v=1771611498,3,"",,,,,,,,,,,,lb,,127.50,,,,,,,,,,
samsoe-samsoe-gonna-sathea-bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/retro.jpg?v=1771611498,4,"",,,,,,,,,,,,,,,,,,,,,,,,
pierre-louis-mascia-pantalone-aloe,PIERRE-LOUIS MASCIA PANTALONE ALOE,"<p>Pantalone Aloe</p>
<p>100% SETA</p>
<div>
<p>Pantaloni Aloe con stampa marrone e rosa, vita elasticizzata, rifinitura con bordo</p>
</div>
<p> </p>",PIERRE-LOUIS MASCIA,,Pantalone,"Abbigliamento, Apparel & Accessories > Clothing, Convictional, DONNA, monostate-il-sellaio, Nuovi Arrivi, PANTALONI, PIERRE-LOUIS MASCIA",false,Colore,517992/101 ROSA ANTICO,,Taglia,S,,Stagione,PE26,,611ALOESPT12450PE26,0.0,shopify,deny,manual,475.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/33755681_64578435_1000.webp?v=1771611498,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/33755681_64578435_1000.webp?v=1771611498,lb,,403.75,true,,,true,,,true,,,active
pierre-louis-mascia-pantalone-aloe,,,,,,,,,517992/101 ROSA ANTICO,,,M,,,PE26,,611ALOESPT12450PE26,0.0,shopify,deny,manual,475.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/33755681_64578463_1000.webp?v=1771611499,2,"",,,,,,,,,,,,lb,,403.75,,,,,,,,,,
pierre-louis-mascia-pantalone-aloe,,,,,,,,,517992/101 ROSA ANTICO,,,L,,,PE26,,611ALOESPT12450PE26,0.0,shopify,deny,manual,475.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,403.75,,,,,,,,,,
samsoe-samsoe-gonna-sathea-black,SAMSOE SAMSOE GONNA SATHEA BLACK,"<p>Gonna Sathea</p>
<p><span>95% Organic Cotton, 5% Elastane</span></p>
<p><span>Gonna al polpaccio con vita elasticizzata </span></p>",SAMSOE SAMSOE,,gonna,"Abbigliamento, Apparel & Accessories > Clothing, Convictional, DONNA, GONNA, monostate-il-sellaio, Nuovi Arrivi, SAMSOE SAMSOE",false,Colore,BLACK,,Taglia,XS,,Stagione,PE26,,723F26100088PE26,0.0,shopify,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21771_F26100088-CLR000021-11-2400.jpg?v=1771611499,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21771_F26100088-CLR000021-10-2400.jpg?v=1771611499,lb,,127.50,true,,,true,,,true,,,active
samsoe-samsoe-gonna-sathea-black,,,,,,,,,BLACK,,,S,,,PE26,,723F26100088PE26,0.0,shopify,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21771_F26100088-CLR000021-10-2400.jpg?v=1771611499,2,"",,,,,,,,,,,,lb,,127.50,,,,,,,,,,
samsoe-samsoe-gonna-sathea-black,,,,,,,,,BLACK,,,M,,,PE26,,723F26100088PE26,0.0,shopify,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21771_F26100088-CLR000021-02-2400.jpg?v=1771611498,3,"",,,,,,,,,,,,lb,,127.50,,,,,,,,,,
samsoe-samsoe-gonna-sathea-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21771_F26100088-CLR000021-03-2400.jpg?v=1771611499,4,"",,,,,,,,,,,,,,,,,,,,,,,,
samsoe-samsoe-top-sathea-black,SAMSOE SAMSOE TOP SATHEA BLACK,"<p>Top Sathea</p>
<p>100% COTONE ORGANICO</p>
<p>Top girocollo senza maniche con inserti in tessuto e maglia </p>",SAMSOE SAMSOE,,TOP,"Abbigliamento, Apparel & Accessories > Clothing, Convictional, DONNA, monostate-il-sellaio, Nuovi Arrivi, SAMSOE SAMSOE, TOP",false,Colore,BLACK,,Taglia,XS,,Stagione,PE26,,723F26100087PE26,0.0,shopify,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21770_F26100087-CLR000021-10-2400.jpg?v=1771611498,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21770_F26100087-CLR000021-10-2400.jpg?v=1771611498,lb,,102.00,true,,,true,,,true,,,active
samsoe-samsoe-top-sathea-black,,,,,,,,,BLACK,,,S,,,PE26,,723F26100087PE26,0.0,shopify,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21770_F26100087-CLR000021-05-2400.jpg?v=1771611498,2,"",,,,,,,,,,,,lb,,102.00,,,,,,,,,,
samsoe-samsoe-top-sathea-black,,,,,,,,,BLACK,,,M,,,PE26,,723F26100087PE26,0.0,shopify,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/ret1.jpg?v=1771611498,3,"",,,,,,,,,,,,lb,,102.00,,,,,,,,,,
trousers-5,Viscose Wool Trousers,"",Monostate,,"","ALIOIVORY, Clothing, Convictional, LouLou De Saison, monostate-vietti, Trousers, Woman",false,Color,White,,Size,34,,,,,LOULOUDESAISON-ALIOIVORY-WHITE-34-3667433027980,450.008990277,shopify,deny,manual,188.07,,true,true,,,,,3667433027980,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---loulou_20de_20saison---ALIOIVORY.jpg?v=1771611494,1,"White high-waist pleated trousers, front view",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---loulou_20de_20saison---ALIOIVORY_3_P.jpg?v=1771611494,lb,,128.59,true,,,true,,,true,,,active
trousers-5,,,,,,,,,White,,,36,,,,,LOULOUDESAISON-ALIOIVORY-WHITE-36-3667433027973,450.008990277,shopify,deny,manual,188.07,,true,true,,,,,3667433027973,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---loulou_20de_20saison---ALIOIVORY_1_P.jpg?v=1771611494,2,"White high-waist trousers, back view",,,,,,,,,,,,lb,,128.59,,,,,,,,,,
trousers-5,,,,,,,,,White,,,38,,,,,LOULOUDESAISON-ALIOIVORY-WHITE-38-3667433027966,450.008990277,shopify,deny,manual,188.07,,true,true,,,,,3667433027966,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---loulou_20de_20saison---ALIOIVORY_2_P.jpg?v=1771611494,3,Close-up of pleated front waist on white trousers,,,,,,,,,,,,lb,,128.59,,,,,,,,,,
trousers-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---loulou_20de_20saison---ALIOIVORY_3_P.jpg?v=1771611494,4,Close-up of back pocket and button on white trousers,,,,,,,,,,,,,,,,,,,,,,,,
sneakers-slip-on-4,Black Fabric Sneakers,"<p>Streamlined and modern, these black sneakers combine a lightweight fabric upper with a resilient rubber sole for effortless everyday wear. Subtle reflective accents and a cushioned, segmented outsole deliver comfort and a sleek, technical finish.</p>
<ul>
  <li>100% fabric upper</li>
  <li>100% rubber sole</li>
  <li>Black colorway</li>
  <li>Lace-up design</li>
  <li>Reflective detailing</li>
  <li>Made in Vietnam</li>
</ul>
<br>
3MF10071043BLACK",On running,Apparel & Accessories > Shoes > Athletic Shoes,Sneakers,"3MF10071043BLACK BLACK, Convictional, Man, monostate-vietti, On Running, Shoes, Sneakers & Slip-On",false,Color,Black,,Size,10,,,,,ONRUNNING-3MF10071043BLACKBLACK-BLACK-10-7615537193694,999.989738902,shopify,deny,manual,138.11,,true,true,,,,,7615537193694,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---on_20running---3MF10071043BLACK_20BLACK.jpg?v=1771611446,1,"Men's black On Running sneakers, side view",false,On Running Black Fabric Sneakers - Men's Shoes,On Running men's black fabric sneakers with rubber sole and breathable upper. A versatile low-top style for everyday wear.,,black,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---on_20running---3MF10071043BLACK_20BLACK_1_P.jpg?v=1771611446,lb,,94.43,true,,,true,,,true,,,active
sneakers-slip-on-4,,,,,,,,,Black,,,10½,,,,,ONRUNNING-3MF10071043BLACKBLACK-BLACK-10-5-7615537193700,999.989738902,shopify,deny,manual,138.11,,true,true,,,,,7615537193700,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---on_20running---3MF10071043BLACK_20BLACK_1_P.jpg?v=1771611446,2,"Pair of black On Running sneakers, angled front view",,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---on_20running---3MF10071043BLACK_20BLACK_2_P.jpg?v=1771611446,lb,,94.43,,,,,,,,,,
sneakers-slip-on-4,,,,,,,,,Black,,,11,,,,,ONRUNNING-3MF10071043BLACKBLACK-BLACK-11-7615537193717,999.989738902,shopify,deny,manual,138.11,,true,true,,,,,7615537193717,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---on_20running---3MF10071043BLACK_20BLACK_2_P.jpg?v=1771611446,3,"Black On Running sneaker, side profile",,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---on_20running---3MF10071043BLACK_20BLACK.jpg?v=1771611446,lb,,94.43,,,,,,,,,,
sneakers-slip-on-4,,,,,,,,,Black,,,11½,,,,,ONRUNNING-3MF10071043BLACKBLACK-BLACK-11-5-7615537193724,999.989738902,shopify,deny,manual,138.11,,true,true,,,,,7615537193724,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---on_20running---3MF10071043BLACK_20BLACK_3_P.jpg?v=1771611446,4,"Pair of black On Running sneakers, rear view",,,,,,,,,,,,lb,,94.43,,,,,,,,,,
sneakers-slip-on-4,,,,,,,,,Black,,,7,,,,,ONRUNNING-3MF10071043BLACKBLACK-BLACK-7-7615537193632,999.989738902,shopify,deny,manual,138.11,,true,true,,,,,7615537193632,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---on_20running---3MF10071043BLACK_20BLACK_4_P.jpg?v=1771611446,5,Black On Running sneakers showing outsole tread,,,,,,,,,,,,lb,,94.43,,,,,,,,,,
sneakers-slip-on-4,,,,,,,,,Black,,,7½,,,,,ONRUNNING-3MF10071043BLACKBLACK-BLACK-7-5-7615537193649,999.989738902,shopify,deny,manual,138.11,,true,true,,,,,7615537193649,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/S26---on_20running---3MF10071043BLACK_20BLACK_4_P.jpg?v=1771611446,lb,,94.43,,,,,,,,,,
